ID,Dag,Maand,Jaar,Tijd,Plaats,Buurt,Straat,Poging,Opgelost
2012413779-1,19,7,2012,15,ROTTERDAM,9-GROOT IJSSELMONDE,DADELTUIN,N,N
2012413820-1,19,7,2012,7,HOOGVLIET ROTTERDAM,2-HOOGVLIET NOORD,HOOGVLIETSEKERKWEG,N,N
2012415705-1,19,7,2012,24,ROTTERDAM,4-LOMBARDIJEN,AUGUSTINUSSTRAAT,J,N
2012414081-1,20,7,2012,24,HOOGVLIET ROTTERDAM,9-HOOGVLIET ZUID,CROMME METH,J,N
2012415253-1,21,7,2012,5,ROTTERDAM,2-COOL,KRUISKADE,N,J
2012418421-1,21,7,2012,22,CAPELLE AAN DEN IJSSEL,7-MERELBUURT WEST,SLOTLAAN,N,N
2012425659-1,21,7,2012,13,SPIJKENISSE,4-CENTRUM-OOST,WIBAUTSTRAAT,N,N
2012416393-1,22,7,2012,1,ROTTERDAM,2-HILLESLUIS,SLAGHEKSTRAAT,N,N
2012416434-1,22,7,2012,1,SCHIEDAM,2-CENTRUM,HOOGSTRAAT,N,N
2012417410-1,23,7,2012,2,ROTTERDAM,1-KRALINGEN WEST,OOSTPLEIN,N,N
2012417692-1,23,7,2012,23,ROTTERDAM,2-HILLESLUIS,RIEDERLAAN,N,N
2012418901-1,24,7,2012,21,ROTTERDAM,5-MOLENLAANKWARTIER,MOLENLAAN,N,J
2012419876-1,24,7,2012,15,MAASSLUIS,3-VOGELBUURT-LAAG,UIVERLAAN,N,N
2012432684-1,24,7,2012,24,ROTTERDAM,1-OUDE WESTEN,GOUVERNESTRAAT,N,N
2012422619-1,25,7,2012,15,SCHIEDAM,1-OOST,STATIONSPLEIN,N,N
2012421093-1,26,7,2012,19,ROTTERDAM,4-RUBROEK,VONDELWEG,N,N
2012421277-1,26,7,2012,22,ROTTERDAM,4-RUBROEK,ADMIRAAL DE RUYTERWEG,N,N
2012421278-1,26,7,2012,22,ROTTERDAM,5-MIDDELLAND,GRAAF FLORISSTRAAT,N,N
2012427546-1,26,7,2012,22,ROTTERDAM,0-BEVERWAARD,BEESDESTRAAT,N,N
