ID,Datu,m,,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2012419314-1,8,07,2012,ZO,17:30,17:33,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,0-0,ESSENBURGSINGEL,3021AR,N,J,m
2012402075-1,9,07,2012,MA,0:01,0:01,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,4-4,BLOEMHOF,3073EG,N,N,m
2012402086-1,9,07,2012,MA,1:05,1:15,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,6-6,NIEUWE BINNENWEG,,N,J,m
2012403638-1,9,07,2012,MA,18:00,18:00,ROTTERDAM,DISTRICT 9,8-Aug,0-VREEWIJK,9-9,LANGEGEER,,N,N,v
2012404417-1,10,07,2012,DI,19:10,19:10,ROTTERDAM,DISTRICT 10,7-Jul,8-ZUIDERPARK,2-2,ZUIDERPARKWEG,,N,N,m
2012405108-1,11,07,2012,WO,13:33,13:50,ROTTERDAM,DISTRICT 9,8-Aug,2-HILLESLUIS,2-2,BEIJERLANDSELAAN,3074EC,J,N,m
2012405367-1,11,07,2012,WO,17:30,17:30,ROTTERDAM,DISTRICT 9,8-Aug,2-HILLESLUIS,2-2,SCHILDSTRAAT,3074XR,N,N,m
2012405453-1,11,07,2012,WO,18:30,18:45,ROTTERDAM,DISTRICT 6,4-Apr,7-STRUISENBURG,4-4,BUIZENWERF,3063AC,N,N,v
2012405668-2,11,07,2012,WO,22:20,22:20,ROTTERDAM,DISTRICT 6,4-Apr,4-'S GRAVENLAND,3-3,RINGVAARTWEG,,N,N,v
2012407253-1,11,07,2012,WO,11:00,11:00,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,3-3,MOERBEITUIN,3078EG,N,N,v
2012408255-1,11,07,2012,WO,21:00,21:00,ROTTERDAM,DISTRICT 10,7-Jul,7-PENDRECHT,8-8,MIDDELHARNISSTRAAT,,N,N,m
2012405786-1,12,07,2012,DO,5:40,5:50,ROTTERDAM,DISTRICT 9,8-Aug,2-HILLESLUIS,0-0,PUTSELAAN,3074JE,N,N,m
2012406674-1,12,07,2012,DO,16:30,16:30,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,2-2,VIERAMBACHTSSTRAAT,3022AD,J,N,v
2012406752-1,12,07,2012,DO,19:30,19:45,ROTTERDAM,DISTRICT 10,7-Jul,4-OUD CHARLOIS,7-7,PLEIN 1953,,N,J,v
2012406944-1,13,07,2012,VR,0:30,0:30,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,1-1,LIJNBAAN,,N,N,m
2012406974-1,13,07,2012,VR,0:15,0:25,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,1-1,LIJNBAAN,3012EL,J,N,m
2012407030-1,13,07,2012,VR,5:47,5:47,ROTTERDAM,DISTRICT 4,1-Jan,0-STADSDRIEHOEK,0-0,HOFPLEIN,,N,J,m
2012407051-1,13,07,2012,VR,5:15,5:15,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,3-3,COOLSINGEL,,N,N,m
2012407353-1,13,07,2012,VR,4:30,4:45,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,6-6,'S-GRAVENDIJKWAL,,N,N,v
2012407365-1,13,07,2012,VR,12:45,12:45,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,2-2,SLINGE,3085ER,N,J,v
2012407527-1,13,07,2012,VR,13:20,13:35,ROTTERDAM,DISTRICT 9,8-Aug,3-OUD IJSSELMONDE,1-1,KORTE STADIONWEG,,N,N,v
2012407970-1,13,07,2012,VR,23:02,23:02,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,0-0,SCHOUWBURGPLEIN,3012CL,N,J,m
2012408613-1,13,07,2012,VR,16:45,16:45,ROTTERDAM,DISTRICT 6,6-Jun,3-OMMOORD,8-8,PRINS ALEXANDERLAAN,3068PR,N,N,v
2012410188-1,13,07,2012,VR,11:00,11:00,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,5-5,VAN HEUSDESTRAAT,3023RS,N,N,m
